Set#1,the change number of edge server
Random:, Servers set, 50, Energy Consumption, 1800.6862021035702, User_allo_ratio, 0.16796875,DecisionIter,0.0,Time,0.0, SystemCost, 0.6668347955813414, Server_ratio, 0.18, OverallDataRate, 2.0634680849192755, Fairness, 0.011526863255976034
Random:, Servers set, 100, Energy Consumption, 10168.469284450957, User_allo_ratio, 0.98828125,DecisionIter,0.0,Time,1.0, SystemCost, 0.3056925398379697, Server_ratio, 0.53, OverallDataRate, 15.544014954060614, Fairness, 0.6246411304860909
Random:, Servers set, 150, Energy Consumption, 16658.661131389905, User_allo_ratio, 0.98828125,DecisionIter,0.0,Time,1.0, SystemCost, 0.36020278911504333, Server_ratio, 0.5866666666666667, OverallDataRate, 14.157658446602637, Fairness, 0.5177770493215367
Random:, Servers set, 200, Energy Consumption, 17833.026754495775, User_allo_ratio, 0.9921875,DecisionIter,0.0,Time,1.0, SystemCost, 0.3190665781509162, Server_ratio, 0.455, OverallDataRate, 13.919271407381048, Fairness, 0.5056127655472513
Random:, Servers set, 250, Energy Consumption, 22169.888676115497, User_allo_ratio, 0.96484375,DecisionIter,0.0,Time,1.0, SystemCost, 0.36606038901472937, Server_ratio, 0.444, OverallDataRate, 11.956251350958642, Fairness, 0.3809750829558118
Random:, Servers set, 300, Energy Consumption, 25247.20328056792, User_allo_ratio, 0.9921875,DecisionIter,0.0,Time,1.0, SystemCost, 0.3356966821557531, Server_ratio, 0.43666666666666665, OverallDataRate, 12.835843154225362, Fairness, 0.43738912019940734
Random:, Servers set, 350, Energy Consumption, 28054.16225081298, User_allo_ratio, 0.98828125,DecisionIter,0.0,Time,1.0, SystemCost, 0.3279599899457229, Server_ratio, 0.3942857142857143, OverallDataRate, 12.527245236652009, Fairness, 0.4221244944485456
Random:, Servers set, 400, Energy Consumption, 32501.427214966498, User_allo_ratio, 0.98046875,DecisionIter,0.0,Time,0.0, SystemCost, 0.33278632426166654, Server_ratio, 0.3875, OverallDataRate, 12.480766822516717, Fairness, 0.4086722772150004
Set#2,the change number of mobile user
Random:, User set, 16, Energy Consumption, 2378.547917154546, User_allo_ratio, 1.0,DecisionIter,0.0,Time,0.0, SystemCost, 0.2001019926238613, Server_ratio, 0.03333333333333333, OverallDataRate, 12.433071484999354, Fairness, 0.43302735546174936
Random:, User set, 32, Energy Consumption, 6263.907719372886, User_allo_ratio, 1.0,DecisionIter,0.0,Time,0.0, SystemCost, 0.2047749188960677, Server_ratio, 0.08707865168539326, OverallDataRate, 13.186638379477328, Fairness, 0.4727538949971901
Random:, User set, 64, Energy Consumption, 10460.63467247968, User_allo_ratio, 0.984375,DecisionIter,0.0,Time,0.0, SystemCost, 0.26371092876211494, Server_ratio, 0.13746630727762804, OverallDataRate, 11.695273023748681, Fairness, 0.3619585209912832
Random:, User set, 128, Energy Consumption, 17758.95531472178, User_allo_ratio, 0.9921875,DecisionIter,0.0,Time,1.0, SystemCost, 0.25508075128429836, Server_ratio, 0.22277227722772278, OverallDataRate, 13.243422028960678, Fairness, 0.4653425233748277
Set#3,the change of available capacity
Random:, Capacity set, 10, Energy Consumption, 17004.565974644327, User_allo_ratio, 0.8359375,DecisionIter,0.0,Time,0.0, SystemCost, 0.44671488595693865, Server_ratio, 0.445, OverallDataRate, 10.037181454470376, Fairness, 0.268917842129184
Random:, Capacity set, 20, Energy Consumption, 20997.056627472313, User_allo_ratio, 0.99609375,DecisionIter,0.0,Time,1.0, SystemCost, 0.34657702357355546, Server_ratio, 0.505, OverallDataRate, 13.297055487838538, Fairness, 0.4691751792793338
Random:, Capacity set, 30, Energy Consumption, 17754.07158568975, User_allo_ratio, 1.0,DecisionIter,0.0,Time,1.0, SystemCost, 0.3075406026627721, Server_ratio, 0.47, OverallDataRate, 14.448143586713238, Fairness, 0.5473781920116836
Random:, Capacity set, 40, Energy Consumption, 20679.40924896344, User_allo_ratio, 1.0,DecisionIter,0.0,Time,1.0, SystemCost, 0.343599485710417, Server_ratio, 0.52, OverallDataRate, 13.57425580611232, Fairness, 0.48920154286874895
Random:, Capacity set, 50, Energy Consumption, 20616.264029840935, User_allo_ratio, 1.0,DecisionIter,0.0,Time,1.0, SystemCost, 0.3389671551358392, Server_ratio, 0.51, OverallDataRate, 13.64304966709471, Fairness, 0.4930985345924826
Random:, Capacity set, 60, Energy Consumption, 21856.40012429993, User_allo_ratio, 0.92578125,DecisionIter,0.0,Time,1.0, SystemCost, 0.4102911263636878, Server_ratio, 0.53, OverallDataRate, 11.881994697238348, Fairness, 0.37334537090893677
Random:, Capacity set, 70, Energy Consumption, 18953.111680530536, User_allo_ratio, 0.98046875,DecisionIter,0.0,Time,1.0, SystemCost, 0.33380340803073805, Server_ratio, 0.48, OverallDataRate, 13.721634666185414, Fairness, 0.4981210259077858
Random:, Capacity set, 80, Energy Consumption, 23515.239240876534, User_allo_ratio, 0.98046875,DecisionIter,0.0,Time,0.0, SystemCost, 0.40442597503583705, Server_ratio, 0.6, OverallDataRate, 12.453254809567962, Fairness, 0.4062533248924888
