Set#1,the change number of edge server
TPDSGame:, Servers set, 50, Energy Consumption, 866.104580929325, User_allo_ratio, 0.16796875,DecisionIter,43.0,Time,39.0, SystemCost, 0.633559331527315, Server_ratio, 0.08, OverallDataRate, 2.0168178798637175, Fairness, 0.011353255418054794
TPDSGame:, Servers set, 100, Energy Consumption, 4388.957174453533, User_allo_ratio, 0.9765625,DecisionIter,250.0,Time,261.0, SystemCost, 0.18280732921580164, Server_ratio, 0.23, OverallDataRate, 16.52604515686732, Fairness, 0.7050155123525951
TPDSGame:, Servers set, 150, Energy Consumption, 8410.791019861603, User_allo_ratio, 0.98828125,DecisionIter,253.0,Time,254.0, SystemCost, 0.22767358004382515, Server_ratio, 0.2866666666666667, OverallDataRate, 15.560040066618186, Fairness, 0.6153646765351912
TPDSGame:, Servers set, 200, Energy Consumption, 11047.123207288134, User_allo_ratio, 0.9921875,DecisionIter,254.0,Time,255.0, SystemCost, 0.2373224850893273, Server_ratio, 0.28, OverallDataRate, 14.909662009126798, Fairness, 0.575845044732018
TPDSGame:, Servers set, 250, Energy Consumption, 14122.67349033647, User_allo_ratio, 0.96484375,DecisionIter,247.0,Time,248.0, SystemCost, 0.25686224289695064, Server_ratio, 0.268, OverallDataRate, 14.351429910651431, Fairness, 0.532569521309148
TPDSGame:, Servers set, 300, Energy Consumption, 14340.993071000335, User_allo_ratio, 0.9921875,DecisionIter,254.0,Time,255.0, SystemCost, 0.2250263283978544, Server_ratio, 0.25, OverallDataRate, 14.979447008650784, Fairness, 0.5827335148064366
TPDSGame:, Servers set, 350, Energy Consumption, 16961.330949115894, User_allo_ratio, 0.98828125,DecisionIter,253.0,Time,254.0, SystemCost, 0.2163976711160004, Server_ratio, 0.23714285714285716, OverallDataRate, 15.213178901180546, Fairness, 0.5996685937948559
TPDSGame:, Servers set, 400, Energy Consumption, 17412.981376731008, User_allo_ratio, 0.98046875,DecisionIter,251.0,Time,258.0, SystemCost, 0.2213489532773436, Server_ratio, 0.205, OverallDataRate, 14.718188847981745, Fairness, 0.5604843901679691
Set#2,the change number of mobile user
TPDSGame:, User set, 16, Energy Consumption, 2586.068252848648, User_allo_ratio, 1.0,DecisionIter,16.0,Time,4.0, SystemCost, 0.1716147933918566, Server_ratio, 0.03333333333333333, OverallDataRate, 13.941497960213347, Fairness, 0.5184889531577636
TPDSGame:, User set, 32, Energy Consumption, 3954.020922584891, User_allo_ratio, 1.0,DecisionIter,32.0,Time,22.0, SystemCost, 0.11096762353546694, Server_ratio, 0.05898876404494382, OverallDataRate, 16.806760190933513, Fairness, 0.726085893438543
TPDSGame:, User set, 64, Energy Consumption, 7756.381051113277, User_allo_ratio, 0.984375,DecisionIter,63.0,Time,63.0, SystemCost, 0.22245856586051738, Server_ratio, 0.1078167115902965, OverallDataRate, 13.160917223934913, Fairness, 0.45606601400874447
TPDSGame:, User set, 128, Energy Consumption, 10173.137839274055, User_allo_ratio, 0.9921875,DecisionIter,127.0,Time,128.0, SystemCost, 0.1963643051317961, Server_ratio, 0.1311881188118812, OverallDataRate, 14.578139008048758, Fairness, 0.5499077034164929
TPDSGame:, Capacity set, 10, Energy Consumption, 10299.688841901929, User_allo_ratio, 0.8984375,DecisionIter,230.0,Time,231.0, SystemCost, 0.33303802986744263, Server_ratio, 0.27, OverallDataRate, 11.916820439293364, Fairness, 0.37244841039767224
TPDSGame:, Capacity set, 20, Energy Consumption, 10800.325498218572, User_allo_ratio, 0.99609375,DecisionIter,255.0,Time,257.0, SystemCost, 0.22359181420242397, Server_ratio, 0.27, OverallDataRate, 15.268902667794901, Fairness, 0.6031308073927282
TPDSGame:, Capacity set, 30, Energy Consumption, 8197.648292793207, User_allo_ratio, 1.0,DecisionIter,256.0,Time,257.0, SystemCost, 0.20246561910607874, Server_ratio, 0.215, OverallDataRate, 15.315821923762638, Fairness, 0.6076031426817637
TPDSGame:, Capacity set, 40, Energy Consumption, 10135.24697456556, User_allo_ratio, 1.0,DecisionIter,256.0,Time,288.0, SystemCost, 0.2302358758117075, Server_ratio, 0.27, OverallDataRate, 14.879245771130368, Fairness, 0.5792923725648774
TPDSGame:, Capacity set, 50, Energy Consumption, 10018.258805396625, User_allo_ratio, 1.0,DecisionIter,256.0,Time,257.0, SystemCost, 0.20431778010498292, Server_ratio, 0.25, OverallDataRate, 15.62198397896005, Fairness, 0.6370466596850513
TPDSGame:, Capacity set, 60, Energy Consumption, 10568.02238767058, User_allo_ratio, 0.92578125,DecisionIter,237.0,Time,238.0, SystemCost, 0.29788922321415334, Server_ratio, 0.255, OverallDataRate, 12.891704391732553, Fairness, 0.43555108035754
TPDSGame:, Capacity set, 70, Energy Consumption, 9900.459049720494, User_allo_ratio, 0.98046875,DecisionIter,251.0,Time,265.0, SystemCost, 0.20182327756098856, Server_ratio, 0.25, OverallDataRate, 16.03730879974464, Fairness, 0.6640614173170344
TPDSGame:, Capacity set, 80, Energy Consumption, 10657.322059881417, User_allo_ratio, 0.98046875,DecisionIter,251.0,Time,264.0, SystemCost, 0.2827888457655273, Server_ratio, 0.275, OverallDataRate, 13.120250885864174, Fairness, 0.4461647127034181
