Set#1,the change number of edge server
EUAGame:, Servers set, 50, Energy Consumption, 1079.3103941242778, User_allo_ratio, 0.16796875,DecisionIter,68.0,Time,68.0, SystemCost, 0.6387092419469451, Server_ratio, 0.1, OverallDataRate, 2.4418620081329525, Fairness, 0.015903524159164645
EUAGame:, Servers set, 100, Energy Consumption, 4785.625589197797, User_allo_ratio, 0.98046875,DecisionIter,295.0,Time,306.0, SystemCost, 0.1642876645713695, Server_ratio, 0.25, OverallDataRate, 17.460742090726143, Fairness, 0.7766682562858915
EUAGame:, Servers set, 150, Energy Consumption, 9125.738932220544, User_allo_ratio, 0.98828125,DecisionIter,315.0,Time,319.0, SystemCost, 0.21885720953529014, Server_ratio, 0.30666666666666664, OverallDataRate, 16.08721950977433, Fairness, 0.6618137880607962
EUAGame:, Servers set, 200, Energy Consumption, 11415.444378936696, User_allo_ratio, 0.9921875,DecisionIter,332.0,Time,334.0, SystemCost, 0.21307319111564585, Server_ratio, 0.29, OverallDataRate, 16.034547882536003, Fairness, 0.6585929266530625
EUAGame:, Servers set, 250, Energy Consumption, 14852.034190753167, User_allo_ratio, 0.96484375,DecisionIter,326.0,Time,350.0, SystemCost, 0.23489175313591049, Server_ratio, 0.284, OverallDataRate, 15.429473489800474, Fairness, 0.6144809905922686
EUAGame:, Servers set, 300, Energy Consumption, 14390.626490181296, User_allo_ratio, 0.9921875,DecisionIter,329.0,Time,331.0, SystemCost, 0.19185609447750457, Server_ratio, 0.25, OverallDataRate, 16.263375318725053, Fairness, 0.6822442165674864
EUAGame:, Servers set, 350, Energy Consumption, 17035.79513021572, User_allo_ratio, 0.98828125,DecisionIter,328.0,Time,359.0, SystemCost, 0.18622772569929052, Server_ratio, 0.23714285714285716, OverallDataRate, 16.376550922874074, Fairness, 0.6901784300449856
EUAGame:, Servers set, 400, Energy Consumption, 18162.46150867179, User_allo_ratio, 0.98046875,DecisionIter,330.0,Time,332.0, SystemCost, 0.19763134832575452, Server_ratio, 0.21, OverallDataRate, 15.788140387159235, Fairness, 0.6366372050227364
Set#2,the change number of mobile user
EUAGame:, User set, 16, Energy Consumption, 2586.068252848648, User_allo_ratio, 1.0,DecisionIter,22.0,Time,6.0, SystemCost, 0.12151201582952309, Server_ratio, 0.03333333333333333, OverallDataRate, 15.853602790238666, Fairness, 0.6687972858447641
EUAGame:, User set, 32, Energy Consumption, 3954.020922584891, User_allo_ratio, 1.0,DecisionIter,39.0,Time,28.0, SystemCost, 0.07836304222723023, Server_ratio, 0.05898876404494382, OverallDataRate, 17.955882160131953, Fairness, 0.8238996373632531
EUAGame:, User set, 64, Energy Consumption, 7756.381051113277, User_allo_ratio, 0.984375,DecisionIter,88.0,Time,87.0, SystemCost, 0.19019797460226895, Server_ratio, 0.1078167115902965, OverallDataRate, 14.61587930698477, Fairness, 0.5528477877834898
EUAGame:, User set, 128, Energy Consumption, 10480.246516240717, User_allo_ratio, 0.9921875,DecisionIter,168.0,Time,170.0, SystemCost, 0.17130804927806997, Server_ratio, 0.13366336633663367, OverallDataRate, 15.600481022139524, Fairness, 0.6275517185024237
Set#3,the change of available capacity
EUAGame:, Capacity set, 10, Energy Consumption, 10657.705620432713, User_allo_ratio, 0.90234375,DecisionIter,310.0,Time,312.0, SystemCost, 0.31050932960219363, Server_ratio, 0.28, OverallDataRate, 13.09035015044983, Fairness, 0.4461282611934191
EUAGame:, Capacity set, 20, Energy Consumption, 11591.431417952428, User_allo_ratio, 0.99609375,DecisionIter,335.0,Time,337.0, SystemCost, 0.20431510491557447, Server_ratio, 0.29, OverallDataRate, 16.35442541555345, Fairness, 0.6809609352532765
EUAGame:, Capacity set, 30, Energy Consumption, 8660.970831346123, User_allo_ratio, 1.0,DecisionIter,330.0,Time,332.0, SystemCost, 0.17461994541141918, Server_ratio, 0.225, OverallDataRate, 16.52185086733529, Fairness, 0.7011401637657425
EUAGame:, Capacity set, 40, Energy Consumption, 10690.342348685941, User_allo_ratio, 1.0,DecisionIter,348.0,Time,350.0, SystemCost, 0.20178608797789344, Server_ratio, 0.29, OverallDataRate, 16.31224042446413, Fairness, 0.6846417360663197
EUAGame:, Capacity set, 50, Energy Consumption, 10559.252947373408, User_allo_ratio, 1.0,DecisionIter,332.0,Time,346.0, SystemCost, 0.17613684315807746, Server_ratio, 0.265, OverallDataRate, 16.960082010231496, Fairness, 0.7365894705257676
EUAGame:, Capacity set, 60, Energy Consumption, 11059.440278002114, User_allo_ratio, 0.92578125,DecisionIter,325.0,Time,327.0, SystemCost, 0.27285954181535454, Server_ratio, 0.27, OverallDataRate, 14.278909385647342, Fairness, 0.5256401245539364
EUAGame:, Capacity set, 70, Energy Consumption, 10236.908991949816, User_allo_ratio, 0.98046875,DecisionIter,315.0,Time,327.0, SystemCost, 0.17994163087815046, Server_ratio, 0.26, OverallDataRate, 17.06495571655666, Fairness, 0.7397063573655487
EUAGame:, Capacity set, 80, Energy Consumption, 11371.646501023968, User_allo_ratio, 0.98046875,DecisionIter,351.0,Time,359.0, SystemCost, 0.2638393049862881, Server_ratio, 0.29, OverallDataRate, 14.161726638576338, Fairness, 0.5180133350411357
