Set#1,the change number of edge server
Greedy:, Servers set, 50, Energy Consumption, 1977.4430037845655, User_allo_ratio, 0.16796875,DecisionIter,0.0,Time,1.0, SystemCost, 0.6727196143059923, Server_ratio, 0.2, OverallDataRate, 2.289569904309153, Fairness, 0.013872407082023168
Greedy:, Servers set, 100, Energy Consumption, 10859.84912442042, User_allo_ratio, 0.98828125,DecisionIter,0.0,Time,7.0, SystemCost, 0.27259867809889315, Server_ratio, 0.57, OverallDataRate, 17.277031595561724, Fairness, 0.7639227157033204
Greedy:, Servers set, 150, Energy Consumption, 19835.69115717226, User_allo_ratio, 0.98828125,DecisionIter,0.0,Time,8.0, SystemCost, 0.36112902918526346, Server_ratio, 0.7066666666666667, OverallDataRate, 15.784120928755485, Fairness, 0.6349983291108762
Greedy:, Servers set, 200, Energy Consumption, 21171.073096602104, User_allo_ratio, 0.9921875,DecisionIter,0.0,Time,3.0, SystemCost, 0.31224439163595985, Server_ratio, 0.535, OverallDataRate, 15.308207459455366, Fairness, 0.6060793250921204
Greedy:, Servers set, 250, Energy Consumption, 26469.513607938745, User_allo_ratio, 0.96484375,DecisionIter,0.0,Time,5.0, SystemCost, 0.32627760213053436, Server_ratio, 0.52, OverallDataRate, 14.929131812799865, Fairness, 0.5763234436083969
Greedy:, Servers set, 300, Energy Consumption, 29817.319585864567, User_allo_ratio, 0.9921875,DecisionIter,0.0,Time,5.0, SystemCost, 0.2969060182342711, Server_ratio, 0.52, OverallDataRate, 15.697906329717547, Fairness, 0.6370944452971868
Greedy:, Servers set, 350, Energy Consumption, 37065.951552000515, User_allo_ratio, 0.98828125,DecisionIter,0.0,Time,5.0, SystemCost, 0.2880368597304206, Server_ratio, 0.5057142857142857, OverallDataRate, 15.92761969343845, Fairness, 0.653322456523024
Greedy:, Servers set, 400, Energy Consumption, 39340.30960206853, User_allo_ratio, 0.98046875,DecisionIter,0.0,Time,4.0, SystemCost, 0.29729257957756094, Server_ratio, 0.475, OverallDataRate, 15.344242435886404, Fairness, 0.6026535112673171
Set#2,the change number of mobile user
Greedy:, User set, 16, Energy Consumption, 3139.548545744501, User_allo_ratio, 1.0,DecisionIter,0.0,Time,1.0, SystemCost, 0.14370682906672486, Server_ratio, 0.041025641025641026, OverallDataRate, 15.151732230173995, Fairness, 0.6099051538254665
Greedy:, User set, 32, Energy Consumption, 5756.8425633815605, User_allo_ratio, 1.0,DecisionIter,0.0,Time,0.0, SystemCost, 0.1046136152069168, Server_ratio, 0.08707865168539326, OverallDataRate, 17.34950553608958, Fairness, 0.7732378060646429
Greedy:, User set, 64, Energy Consumption, 11887.241602131027, User_allo_ratio, 0.984375,DecisionIter,0.0,Time,1.0, SystemCost, 0.22036560777419759, Server_ratio, 0.16172506738544473, OverallDataRate, 14.08357371340408, Fairness, 0.516253244062852
Greedy:, User set, 128, Energy Consumption, 19989.775399295486, User_allo_ratio, 0.9921875,DecisionIter,0.0,Time,1.0, SystemCost, 0.21976232963648634, Server_ratio, 0.24752475247524752, OverallDataRate, 15.22178611952949, Fairness, 0.5960502635657885
Set#3,the change of available capacity
Greedy:, Capacity set, 10, Energy Consumption, 21236.621077760123, User_allo_ratio, 0.94140625,DecisionIter,0.0,Time,4.0, SystemCost, 0.3768477633788676, Server_ratio, 0.55, OverallDataRate, 13.58578103054244, Fairness, 0.47805045986339717
Greedy:, Capacity set, 20, Energy Consumption, 27273.581965058853, User_allo_ratio, 0.99609375,DecisionIter,0.0,Time,7.0, SystemCost, 0.33993450192818353, Server_ratio, 0.665, OverallDataRate, 15.938404432874874, Fairness, 0.6491027442154493
Greedy:, Capacity set, 30, Energy Consumption, 21682.328303615133, User_allo_ratio, 1.0,DecisionIter,0.0,Time,2.0, SystemCost, 0.3005417291163419, Server_ratio, 0.555, OverallDataRate, 15.915236815482453, Fairness, 0.6533748126509743
Greedy:, Capacity set, 40, Energy Consumption, 24037.08655555574, User_allo_ratio, 1.0,DecisionIter,0.0,Time,4.0, SystemCost, 0.325426232592182, Server_ratio, 0.61, OverallDataRate, 15.670872640505472, Fairness, 0.633721302223454
Greedy:, Capacity set, 50, Energy Consumption, 23743.478260963915, User_allo_ratio, 1.0,DecisionIter,0.0,Time,2.0, SystemCost, 0.2961240144750129, Server_ratio, 0.585, OverallDataRate, 16.480538557275615, Fairness, 0.6966279565749611
Greedy:, Capacity set, 60, Energy Consumption, 26211.042509337218, User_allo_ratio, 0.92578125,DecisionIter,0.0,Time,2.0, SystemCost, 0.4119802912771503, Server_ratio, 0.645, OverallDataRate, 13.620358705976397, Fairness, 0.48327787616854895
Greedy:, Capacity set, 70, Energy Consumption, 23308.91662838812, User_allo_ratio, 0.98046875,DecisionIter,0.0,Time,4.0, SystemCost, 0.30144543824793224, Server_ratio, 0.595, OverallDataRate, 16.6901873787032, Fairness, 0.7101949352562033
Greedy:, Capacity set, 80, Energy Consumption, 26834.096893568087, User_allo_ratio, 0.98046875,DecisionIter,0.0,Time,3.0, SystemCost, 0.4015087848045431, Server_ratio, 0.67, OverallDataRate, 13.700453272646504, Fairness, 0.48500489558637067
